artist	main_genre
2263877	pop
677104	rock
299884	classical
2905486	electronic
394692	electronic
2677073	pop
483006	rock
844217	dance
98496	r&b/soul
1130996	dance
312785	electronic
1648787	electronic
780995	hip-hop/rap
291292	country
325747	latin
288271	rock
570515	rock
492337	rock
2478259	hip-hop/rap
865977	country
99915	pop
33614	pop
239107	electronic
961367	hip-hop/rap
690080	dance
765579	electronic
1465444	hip-hop/rap
1823502	r&b/soul
33293	classical
357649	dance
2695839	electronic
1589154	r&b/soul
3280500	pop
3188055	rock
1928076	rock
45198	rock
326731	hip-hop/rap
503957	electronic
2323274	classical
4017956	rock
23135	electronic
2377928	rock
565249	electronic
2052999	rock
1570079	reggae
1140925	rock
2263953	country
1333	classical
2736965	blues
80610	rock
2406476	rock
364787	pop
532523	alternative
1030756	classical
473598	electronic
1022252	hip-hop/rap
400960	electronic
2729170	reggae
1471714	electronic
1919729	rock
27370	pop
3860631	electronic
2041820	rock
635690	electronic
802911	hip-hop/rap
81260	rock
104056	alternative
2523170	electronic
1945690	alternative
197312	hip-hop/rap
4462960	electronic
2717547	hip-hop/rap
1208798	pop
1224100	rock
151727	electronic
2235032	rock
78532	rock
55104	alternative
4920392	r&b/soul
2181105	pop
2454753	rock
2676940	rock
145663	pop
1456962	hip-hop/rap
3027753	hip-hop/rap
1132718	latin
1250067	dance
1997735	latin
34454	rock
4295276	rock
903294	rock
229955	hip-hop/rap
1388330	hip-hop/rap
911792	latin
1842359	electronic
1438074	electronic
791097	rock
1624339	rock
23593	electronic
1377203	jazz
997001	electronic
1546514	alternative
2788932	alternative
633233	latin
100068	rock
1717701	r&b/soul
837461	pop
125697	alternative
60792	r&b/soul
969328	latin
3859368	electronic
716993	alternative
644801	r&b/soul
297266	country
2276355	rock
187094	pop
701346	classical
538732	electronic
625650	pop
457384	latin
374944	pop
124771	electronic
4409006	electronic
154158	alternative
1508160	rock
1650881	rock
3062644	country
1245213	hip-hop/rap
290261	electronic
272785	alternative
305213	rock
976197	rock
278592	electronic
2764866	pop
2829055	rock
1125754	dance
16062	electronic
291611	alternative
923068	rock
297420	r&b/soul
1178003	pop
394219	electronic
790414	rock
187091	latin
1628213	latin
2927119	dance
538632	electronic
1458671	r&b/soul
4061415	electronic
2646061	latin
299154	rock
457398	electronic
486129	rock
49995	alternative
4385854	electronic
313768	rock
461824	pop
215549	electronic
589447	r&b/soul
525623	rock
2691744	electronic
819775	rock
1977819	country
2068840	classical
147933	hip-hop/rap
271284	r&b/soul
365064	pop
17424	alternative
2679636	rock
1132171	pop
588816	alternative
92538	rock
79078	rock
293154	electronic
2571081	rock
2500613	classical
98081	pop
2524721	rock
93914	pop
714507	classical
1624621	dance
435201	electronic
2050327	hip-hop/rap
787537	electronic
1687208	country
844290	classical
1595257	rock
2214938	electronic
1685397	electronic
2850784	alternative
108808	alternative
782746	pop
847207	electronic
2866627	pop
3214187	rock
2416834	alternative
3616541	country
1385336	hip-hop/rap
17089	electronic
891900	electronic
522890	latin
1756039	rock
2500989	country
5094078	rock
1394145	rock
403589	rock
791109	electronic
2267434	pop
3992389	reggae
379734	pop
4739084	reggae
1379366	rock
1481672	r&b/soul
921501	rock
1963651	pop
835096	latin
2579040	pop
940947	latin
313972	jazz
471044	electronic
2098322	electronic
619438	hip-hop/rap
443773	rock
1129687	alternative
654426	rock
6829898	electronic
1998624	hip-hop/rap
2022566	alternative
2700009	pop
502233	electronic
244139	alternative
1072205	pop
2062893	rock
1175744	hip-hop/rap
1594078	classical
23826	alternative
92553	rock
349194	rock
212865	alternative
8696	electronic
415079	rock
81123	rock
481698	pop
132259	latin
1358673	electronic
6829116	rock
650854	alternative
72328	alternative
862576	hip-hop/rap
62118	alternative
243257	rock
3476615	classical
309293	r&b/soul
197410	hip-hop/rap
1449004	electronic
46628	hip-hop/rap
99036	rock
1948030	hip-hop/rap
303767	r&b/soul
2239299	electronic
391738	electronic
836526	reggae
1224989	electronic
2698731	country
508034	rock
1570360	rock
3817943	jazz
794485	reggae
78930	rock
1848819	hip-hop/rap
2468909	dance
2734133	electronic
3316280	electronic
2158488	blues
190985	hip-hop/rap
2658713	r&b/soul
294794	electronic
634502	jazz
236437	pop
809885	electronic
1107024	pop
401780	r&b/soul
1748733	pop
1151099	classical
668280	alternative
1670110	electronic
1477990	country
8462	electronic
624860	country
2361782	dance
29484	hip-hop/rap
1917082	rock
1108308	pop
767324	rock
505337	electronic
1077674	pop
1124127	rock
2986502	pop
553111	rock
5208700	rock
1301280	rock
82208	rock
66705	rock
227129	jazz
1364121	rock
79489	rock
188407	pop
280807	hip-hop/rap
937487	pop
2112320	classical
133251	alternative
2789792	electronic
141758	rock
1409136	rock
2882841	latin
917222	rock
952988	alternative
5303065	pop
3618295	alternative
103925	rock
836051	rock
2236337	alternative
1024300	electronic
1354115	rock
214064	pop
229170	electronic
271974	pop
473421	electronic
154021	rock
1060245	rock
1207754	dance
2118797	electronic
629492	rock
3932695	alternative
192751	pop
1326389	rock
924337	pop
1312812	alternative
1285914	latin
1610594	alternative
339000	electronic
2388983	electronic
1284269	electronic
268012	electronic
310194	electronic
65854	rock
2503647	rock
1219139	rock
2042657	hip-hop/rap
4020949	pop
561713	electronic
1031680	pop
3989727	pop
779890	electronic
613901	rock
756507	reggae
55093	country
1021121	hip-hop/rap
2371391	electronic
523319	latin
643188	country
754204	classical
1380013	hip-hop/rap
635741	electronic
1001450	classical
764235	electronic
175312	rock
1077853	classical
43723	alternative
497825	rock
152074	rock
677141	electronic
579710	alternative
391946	hip-hop/rap
61209	alternative
1911483	pop
249773	rock
281796	pop
1426082	hip-hop/rap
3801961	electronic
1301993	pop
1125021	classical
290896	alternative
60736	hip-hop/rap
678927	rock
408687	rock
1229577	rock
945900	alternative
474230	electronic
1815904	jazz
1509575	country
2906190	dance
532592	hip-hop/rap
4352146	electronic
449286	rock
1504331	rock
937175	pop
3302003	rock
702273	hip-hop/rap
2380779	rock
1012640	rock
8693	r&b/soul
57127	classical
360505	pop
407631	rock
247508	hip-hop/rap
